TT,Câu hỏi,Phương án A,Phương án B,Phương án C,Phương án D,Phương án E,Đ.án đúng,Số văn bản tham chiếu (kèm trích yếu văn bản),Điều khoản tham chiếu cụ thể
100,Bất động sản thẩm định ở gần chùa trong khi bất động sản so sánh có đơn giá chuẩn là 100 triệu đồng/m2 không ở gần chùa. Biết đơn giá đất của bất động sản ở gần chùa thấp hơn đơn giá đất của bất động sản không ở gần chùa là 20%. Tỷ lệ điều chỉnh của bất động sản so sánh là:, -20%;, +20%;," -16,67%;"," +16,67%;", +18.67%; ,C,,
101,Theo Thông tư 30/2024/TT-BTC ngày 16/5/2024 về Chuẩn mực thẩm định giá Việt Nam về quy tắc đạo đức nghề nghiệp thẩm định giá Thông tư  đâu không phải là 1 trong những chuẩn mực đạo đức nghề nhiệp cảu thẩm định viên?,Độc lập; Khách quan,Có năng lực chuyên môn và tính thận trọng,Tư cách nghề nghiệp ,Hành vi chuyên nghiệp,Độc lập khách khách quan,C,"Thông tư 30/2024/TT-BTC ngày 16/5/2024 ban hành các chuẩn mực thẩm định giá Việt Nam về quy tắc đạo đức nghề nghiệp thẩm định giá, phạm vi công việc thẩm định giá, cơ sở giá trị thẩm định giá, hồ sơ thẩm định giá","Điều 3, Chương II"
102,"Công ty thẩm định A cung cấp chứng thư thẩm định giá của một khách hàng A cho một Khách B với mục để khách hàng B tham khảo mức giá tài sản thẩm định giá trước khi thực hiện ký kết hợp đồng với công ty X, vậy công ty X có vi phạm đạo đức nghề nghiệp theo quy định tại Chuẩn mực thẩm định giá VN hay không? Nếu có thì vi phạm vào chuẩn mực đạo đức nghề nghiệp nào?","Không, do khách hàng B chỉ sử dụng với mục đích tham khảo","Có, hành vi không đúng về bảo mật thông tin","Có, vi phạm chuẩn mực về độc lập khách quan","Có, vi phạm về chuẩn mực Hành vi chuyên nghiệp","Có, vi phạm chuẩn mực về bảo mật thông tin",E,"Thông tư 30/2024/TT-BTC ngày 16/5/2024 ban hành các chuẩn mực thẩm định giá Việt Nam về quy tắc đạo đức nghề nghiệp thẩm định giá, phạm vi công việc thẩm định giá, cơ sở giá trị thẩm định giá, hồ sơ thẩm định giá","Điều 7, Chương II"
103,"Trước khi phát hanh chứng thư thẩm định giá, báo cáo thẩm định giá, nội dung nào là nội dung cần phải thông báo với bên thẩm yêu cầu thẩm định giá theo nội dung phạm vi công việc thẩm định giá  thông tư Thông tư 30/2024/TT-BTC ngày 16/5/2024 về phạm vi công việc?",Phương pháp thẩm định giá; giá trị tài sản sơ bộ,Cơ sở giá trị thẩm định giá; Phương pháp thẩm định giá,Phương pháp thẩm định giá; Giả thiêt được sử,Cơ sở giá trị thẩm định giá; hạn chế và loại trừ trách nhiệm,Phương pháp thẩm định giá và  giá trị tài sản sơ bộ,D,"Thông tư 30/2024/TT-BTC ngày 16/5/2024 ban hành các chuẩn mực thẩm định giá Việt Nam về quy tắc đạo đức nghề nghiệp thẩm định giá, phạm vi công việc thẩm định giá, cơ sở giá trị thẩm định giá, hồ sơ thẩm định giá","khoản a, mục 6 Điều 3, Chương II "
104,Theo Chuẩn mực thẩm định giá về phạm vi công việc Khi nào thì thẩm định viên chỉ cần sử dụng một phương pháp thẩm định giá trong chứng thư thẩm định giá và báo cáo thẩm định giá?,Đủ điều kiện để áp dụng phương pháp so sánh theo quy định tại Chuẩn mực thẩm định giá  Việt Nam về Cách tiếp cận từ thị trường,Thẩm định tài sản vô hình theo quy định tại Chuẩn mực thẩm định giá Việt Nam về Thẩm định giá vô hình,Thẩm định tài sản theo dựa trên cơ sở giá trị bắt buộc phải bán,Phương án A và B đều đúng,Phương án A và C đều đúng,D,"Thông tư 30/2024/TT-BTC ngày 16/5/2024 ban hành các chuẩn mực thẩm định giá Việt Nam về quy tắc đạo đức nghề nghiệp thẩm định giá, phạm vi công việc thẩm định giá, cơ sở giá trị thẩm định giá, hồ sơ thẩm định giá","Điều 4, Chương II"
105,Theo Chuẩn mực thẩm định giá về Hồ sơ thẩm định giá Thời hạn lưu trữ hồ sơ thẩm định giá là bao lâu?,Viễn viễn đối với hồ sơ điện tử; tối thiểu 10 năm đối với hồ sơ giấy,Tối thiếu 10 năm đối với bản điện tử và bản giấy,Tối thiếu 15 năm đối với bản điện tử và bản giấy,Viễn viễn đối với hồ sơ điện tử; tối thiểu 15 năm đối với hồ sơ giấy,Tối thiếu 20 năm đối với bản điện tử và bản giấy,B,"Thông tư 30/2024/TT-BTC ngày 16/5/2024 ban hành các chuẩn mực thẩm định giá Việt Nam về quy tắc đạo đức nghề nghiệp thẩm định giá, phạm vi công việc thẩm định giá, cơ sở giá trị thẩm định giá, hồ sơ thẩm định giá","Điều 12, Chương IV"
106,"""Người thực hiện hoạt động thẩm định giá không được để cho sự thiên vị, xung đột lợi ích, sự tác động bởi bất kỳ lợi ích vật chất hoặc tinh thần nào chi phối các xét đoán chuyên môn, không được mặc cả, dàn xếp theo ý chí chủ quan của mình để làm sai lệch giá trị tài sản thẩm định giá nhằm thu lợi bất chính"" thuộc nội dung của chuẩn mực đạo đức nghề nghiệp nào?",Chính trực,Hành vi chuyên nghiệp ,"Độc lập, khách quan",Có năng lực chuyên môn và tính thận trọng,Có tinh thần trách nhiệm và tính thận trọng cao,C,"Thông tư 30/2024/TT-BTC ngày 16/5/2024 ban hành các chuẩn mực thẩm định giá Việt Nam về quy tắc đạo đức nghề nghiệp thẩm định giá, phạm vi công việc thẩm định giá, cơ sở giá trị thẩm định giá, hồ sơ thẩm định giá","mục 1 Điều 5, Chương II"
107,Người thu thông tin trong hoạt động thẩm định giá là?,Thẩm định viên về giá,Người hoạt động thẩm định giá,Người giúp việc cho thẩm định viên,Tất cả các phương án A + B,Tất cả các phương án A + B + C,E,Thông tư 31/2024/TT-BTC ngày 16/5/2024 ban hành chuẩn mực thẩm định giá Việt Nam về thu thập và phân tích thông tin về tài sản thẩm định giá,Điều 3 mục 2
108,Theo chuẩn mực thẩm định giá Việt Nam về thu thập và phân tích thông tin Trường hợp người thu thập thông tin không phải là người thực hiện hoạt động thẩm định giá thì có thể thực hiện công tác thu thập hay không?,Không,Có,"Có, nếu có sự phân công và hướng dẫn của thẩm định viên về giá.","Có, khi người đó đủ năng lực hành vi dân sự","Có, nếu có hướng dẫn của thẩm định viên về giá.",C,Thông tư 31/2024/TT-BTC ngày 16/5/2024 ban hành chuẩn mực thẩm định giá Việt Nam về thu thập và phân tích thông tin về tài sản thẩm định giá,Điều 4
109,Theo chuẩn mực thẩm định giá Việt Nam về thu thập và phân tích thông tin Trường hợp nào không cần thực hiện khảo sát hiện trạng tài sản nêu người thu thập thông tin nếu nêu được đầy đủ lý do về việc không thể khảo sát?,Tài sản thẩm định giá là xe ô tô mới 100% (chưa lăn bánh) có đầy đủ tài liệu về đặc điểm kinh tế-kỹ thuật và có thông tin giao bán các tài sản so sánh giống hệt trên thị trường,"Tài sản thẩm định là xe ô tô bị cháy, hủy hoại hoàn toàn.",Tài sản được thẩm định giá   dựa trên cơ sở giá trị bắt buộc phải bán,Phương án  A và B,Phương án C và B,D,Thông tư 31/2024/TT-BTC ngày 16/5/2024 ban hành chuẩn mực thẩm định giá Việt Nam về thu thập và phân tích thông tin về tài sản thẩm định giá,"Khoản b, mục 1 Điều 6"
110,Theo chuẩn mực thẩm định giá Việt Nam về thu thập và phân tích thông tin Đâu là  cách thức thu thập thông tin tài sản thẩm định giá?,Thu thập thông tin từ chủ sở hữu tài sản,Thu thập thông tin qua khảo sát thực tế,Thu thập thông tin từ người thuê để sử dụng tài sản,Tất cả phương án A + B + C,Tất cả phương án trên đều sai,D,Thông tư 31/2024/TT-BTC ngày 16/5/2024 ban hành chuẩn mực thẩm định giá Việt Nam về thu thập và phân tích thông tin về tài sản thẩm định giá,mục 1 Điều 6
111,"Theo chuẩn mực thẩm định giá Việt Nam về thu thập và phân tích thông tin Yêu cầu của Phiếu khảo sát, thu thập thông tin?",Phải có chữ ký người thu thập thông tin,"Phải ghi đủ họ tên, chữ ký người thu thập thông tin","Phải ghi đầy đủ họ tên, chữ ký của người thu thập thông tin và người cung cấp thông tin",Tất cả phương án trên đều đúng,,B,Thông tư 31/2024/TT-BTC ngày 16/5/2024 ban hành chuẩn mực thẩm định giá Việt Nam về thu thập và phân tích thông tin về tài sản thẩm định giá,"khoản a, mục 2, Điều 6"
112,Theo chuẩn mực thẩm định giá Việt Nam về thu thập và phân tích thông tin Yêu cầu đối với các thông tin được thu thập từ mạng internet?,Phải có dẫn chiếu đường dẫn liên kết thông tin thu thập,Lưu trữ các hình ảnh để chứng minh cho việc thu thập,Phải có phiếu thu thập thông tin và có chữ ký của người thu thập thông tin.,Tất cả phương án A + B + C đều đúng,Tất cả phương án trên đều sai,D,Thông tư 31/2024/TT-BTC ngày 16/5/2024 ban hành chuẩn mực thẩm định giá Việt Nam về thu thập và phân tích thông tin về tài sản thẩm định giá,"khoản c, mục 2, Điều 6"
113,Sử dụng tốt nhất và có hiệu quả nhất của tài sản là?,"Việc dụng tài sản phù hợp với quy định của pháp luật, các điều kiện vật chất, kỹ thuật và mang lại hiệu quả kinh tế cao nhất",Việc sử dụng tài sản mang lại hiệu quả cao nhất và phù hợp các quy định của pháp luật,Việc sử dụng tài sản phù hợp với mục đích sử dụng và phù hợp với quy định của pháp luật,"Việc sử dụng tài sản phù hợp với mục đích sử dụng, phù hợp với quy định của pháp luật và mang lại hiệu quả cao nhất.","Việc dụng tài sản đúng với quy định của pháp luật, các điều kiện vật chất.",A,Thông tư 31/2024/TT-BTC ngày 16/5/2024 ban hành chuẩn mực thẩm định giá Việt Nam về thu thập và phân tích thông tin về tài sản thẩm định giá,"khoản d, mục 2, Điều 8"
114,"Theo chuẩn mực thẩm định giá Việt Nam về thu thập và phân tích thông tin Ai là người chịu trách nhiệm về tính khách quan, trung thực của thông tin, số liệu được thu thập từ tài sản thẩm định giá?",Thẩm định viên về giá,Người hoạt động thẩm định giá,Người thu thập thông tin,Tất cả các phương án A + B + C,Tất cả các phương án trên đều sai,C,Thông tư 31/2024/TT-BTC ngày 16/5/2024 ban hành chuẩn mực thẩm định giá Việt Nam về thu thập và phân tích thông tin về tài sản thẩm định giá,Điều 4 mục 4
115,"Theo chuẩn mực thẩm định giá Việt Nam về thu thập và phân tích thông tin Ai là người chịu trách nhiệm về việc xem xét, đánh giá, phân tích, và sử dụng thông tin được thu thập để thực hiện thẩm định giá?",Người hoạt động thẩm định giá,Người thu thập thông tin,Thẩm định viên về giá,Tất cả các phương án A + B + C,Tất cả các phương án trên đều sai,A,Thông tư 31/2024/TT-BTC ngày 16/5/2024 ban hành chuẩn mực thẩm định giá Việt Nam về thu thập và phân tích thông tin về tài sản thẩm định giá,Điều 4 mục 4
116,Theo chuẩn mực thẩm định giá Việt Nam về thu thập và phân tích thông tin Đâu là các nguồn thông tin thu thập?,"Thông tin từ tổ chức, cá nhân cung cấp thể hiện đặc điểm pháp lý của tài sản",Thông tin từ Biên bản khảo sát do người thu thập thông tin thu thập,Thông tin cơ sở dữ liệu quốc gia về giá,Tất cả các phương án A+B+C,Tất cả các phương án trên đều sai,D,Thông tư 31/2024/TT-BTC ngày 16/5/2024 ban hành chuẩn mực thẩm định giá Việt Nam về thu thập và phân tích thông tin về tài sản thẩm định giá,mục 1 Điều 4 
117,Theo chuẩn mực thẩm định giá Việt Nam về thu thập và phân tích thông tin Khảo sát hiện trậng tài sản thẩm định giá yêu cầu người thu thập thông những công việc nào sau đây?,"Ghi chép đầy đủ các đặc điểm  và hiện trạng tài sản, thông tin và các yếu tố ảnh hưởng lớn đến giá trị tài sản",Chụp ảnh tài sản và những hình ảnh để chứng minh về hiện trạng tài sản,Lập biên bản khảo sát hiện trạng tài,Tất cả các phương án A+B+C,Tất cả các phương án trên đều sai,D,Thông tư 31/2024/TT-BTC ngày 16/5/2024 ban hành chuẩn mực thẩm định giá Việt Nam về thu thập và phân tích thông tin về tài sản thẩm định giá,Điều 6 khoản b mục 1
118,Theo chuẩn mực thẩm định giá Việt Nam về thu thập và phân tích thông tin về tài sản thẩm định giá Đâu là yêu cầu bắt buộc tối thiểu đối với Biên bản khảo sát hiện trạng?,Phải có chữ ký cuả thẩm định viên và chủ tài sản,"Phải có chữ ký của người thu thập thông tin và tổ chức, cá nhân yêu cầu thẩm định giá","Phải có chữ ký của người thực hiện thẩm định giá và tổ chức, cá nhân yêu cầu thẩm định giá","Phải có chữ ký của người thực hiện thẩm định giá; tổ chức, cá nhân yêu cầu thẩm định giá và chủ tài sản",Phải có chữ ký cuả  chủ tài sản,B,Thông tư 31/2024/TT-BTC ngày 16/5/2024 ban hành chuẩn mực thẩm định giá Việt Nam về thu thập và phân tích thông tin về tài sản thẩm định giá,khoản b mục 1 Điều 6
119,Theo chuẩn mực thẩm định giá Việt Nam về thẩm định giá bất động sảnTỷ suất chiết khấu trong phương pháp thặng dư được xác định bằng?,Lãi suất cho vay trung và dài hạn của các ngân hàng thương mại do Nhà nước nắm giữ trên 50%.,Lãi suất cho vay trung và dài hạn của các ngân hàng thương mại do Nhà nước năm giữ trên 50% có trụ sở hoặc Chi nhánh trên địa bàn cấp tỉnh.,Lãi suất cho vay trung hạn của các ngân hàng thương mại do Nhà nước năm giữ trên 50% có trụ sở hoặc Chi nhánh trên địa bàn cấp tỉnh.,Lãi suất cho vay dài hạn của các ngân hàng thương mại do Nhà nước năm giữ trên 50% có trụ sở hoặc Chi nhánh trên địa bàn cấp tỉnh.,Lãi suất cho vay trung hạn của các ngân hàng thương mại do Nhà nước làm chủ ,C,Thông tư 42/2024/TT-BTC ngày 20/06/2024 ban hành chuẩn mực thẩm định giá Việt Nam về thẩm định giá bất động sản,Điều 10
120,Theo chuẩn mực thẩm định giá Việt Nam về thẩm định giá bất động sản Tổng chi phí phát triển bao gồm?,"Chi phí đầu tư xây dựng; Chi phí dự phòng; Chi kinh doanh; Chi phí tài chính, thuế; chi phí hợp lý khác","Chi phí đầu tư xây dựng; Chi phí dự phòng; Chi kinh doanh; Chi phí tài chính, thuế; chi phí hợp lý khác; Lợi nhuận nhà đầu tư","Chi phí đầu tư xây dựng; Chi phí dự phòng; Chi kinh doanh; Chi phí tài chính, thuế; chi phí hợp lý khác; Lợi nhuận nhà đầu tư; Chi phí bồi thường, giải phóng mặt bằng","Chi phí đầu tư xây dựng; Chi phí dự phòng; Chi kinh doanh; chi phí hợp lý khác; Lợi nhuận nhà đầu tư; Chi phí bồi thường, giải phóng mặt bằng",Chi phí đầu tư xây dựng; Chi phí dự phòng;,B,Thông tư 42/2024/TT-BTC ngày 20/06/2024 ban hành chuẩn mực thẩm định giá Việt Nam về thẩm định giá bất động sản,Điều 9
121,Theo chuẩn mực thẩm định giá Việt Nam về thẩm định giá bất động sản Bất động sản có tiềm năng phát triển là?,Là đất trống có tiềm năng phát triển và phù hợp về quy định cảu pháp luật để xây dựng công trình xay dựng công trình trên đất để sử dụng tốt nhất và có hiệu quả nhất,Là đất trống để xây dựng hoặc đất có công trình trên đất có thể cải tạo hoặc phá dỡ xây dựng công trình trên đất để sử dụng tốt nhất và có hiệu quả nhất,Là đất trống hoặc công trình xâ dựng trên đất đang hiện hữu có khả năng tạo ra thu nhập ,Là đất trống để xây dựng hoặc đất có công trình trên đất có thể cải tạo hoặc phá dỡ xây dựng công trình trên đất để xây dựng các công trình xây dựng phù hợp với với quy định của pháp luật về xây dựng.,Là thửa đất trống để xây dựng hoặc đất có công trình trên đất có thể cải tạo,B,Thông tư 42/2024/TT-BTC ngày 20/06/2024 ban hành chuẩn mực thẩm định giá Việt Nam về thẩm định giá bất động sản,Điều 3
122,Theo chuẩn mực thẩm định giá Việt Nam về thẩm định giá bất động sản Đâu không phải nội dung của Tỷ suất chiết khấu?,"Tỷ suất được sử dụng để chuyển đổi dòng thu nhập
trong tương lai về giá trị hiện tại","Phản ánh được giá trị biến đổi theo thời gian của
tiền tệ và các rủi ro liên quan đến dòng thu nhập dự kiến có được trong tương lai
từ việc sử dụng tài sản thẩm định giá.","Được ước lượng thông qua các thông tin từ thị trường
của các tài sản tương tự, có thể là tỷ suất sinh lời trung bình của các loại tài sản
đó trên thị trường theo phương pháp thống kê",Phản ánh tỷ lệ lạm phát của thị trường và tác động của các chính sách tiền tệ ảnh hưởng đến thị trường bất động sản.,"Tỷ suất được sử dụng để chuyển đổi dòng thu nhập từ quá khứ về hiện tại
",D,Thông tư 42/2024/TT-BTC ngày 20/06/2024 ban hành chuẩn mực thẩm định giá Việt Nam về thẩm định giá bất động sản,Điều 3
123,ĐVĐNĐG chủ động thuê Công ty thẩm định giá  định giá các TSBĐ thuộc đối tượng định giá tại TTĐGTS theo các quy định về BPBĐ trong các trường hợp sau,Các TSBĐ phải định giá độc lập theo quy định Luật Giá,Các TSBĐ mà ĐVĐNĐG/Bên bảo đảm có nhu cầu thẩm định giá độc lập,Các TSBĐ mà TTĐGTS đánh giá cần thiết phải thẩm định giá độc lập (mà không cần đề nghị định giá từ ĐVĐNĐG),A&C,Tất cả các phương án trên,B,"Quy định số 9295/BIDV-QLRRTH ngày 24/12/2024 về trình tự, thủ tục, thẩm quyền định giá TSBĐ tại Trung tâm Định giá tài sản BIDV","Điều 3, mục b"
124,Thành phần bắt buộc khảo sát hiện trạng TSBĐ,CBKS,CBKS và Bên bảo đảm/Đại diện bên bảo đảm,CBKS và Khách hàng vay vốn/Đại diện Khách hàng vay vốn,Tất cả các phương án trên,A&B,B,"Quy định số 9295/BIDV-QLRRTH ngày 24/12/2024 về trình tự, thủ tục, thẩm quyền định giá TSBĐ tại Trung tâm Định giá tài sản BIDV","Điều 4 - 4.1, mục c"
125,ĐVĐNĐG sau khi nhận được thông báo kết quả định giá của TTĐGTS,Trong mọi trường hợp phải sử dụng kết quả của TTĐG,Được lựa chọn mức giá trị TSBĐ áp dụng cao hơn theo thông báo của TTĐG nhưng trong mọi trường hợp không quá 10%,Được lựa chọn mức giá trị TSBĐ áp dụng thấp hơn theo thông báo của TTĐG,Không đáp án nào đúng,Tất cả các phương án trên,C,"Quy định số 9295/BIDV-QLRRTH ngày 24/12/2024 về trình tự, thủ tục, thẩm quyền định giá TSBĐ tại Trung tâm Định giá tài sản BIDV","Điều 4 - 4.1, mục g"
126,Hồ sơ cần cung cấp bắt buộc đối với nhà ở hình thành trong tương lai được tổ chức cá nhân xây dựng hợp pháp trên thửa đất của mình,Giấy tờ chứng nhận quyền sử dụng đất hợp pháp theo quy định của pháp luật,Giấy phép xây dựng,Hợp đồng mua bán căn hộ,Không đáp án nào đúng,Biên bản bàn giao nhà ở đưa vào sử dụng,A,"Quy định số 9295/BIDV-QLRRTH ngày 24/12/2024 về trình tự, thủ tục, thẩm quyền định giá TSBĐ tại Trung tâm Định giá tài sản BIDV",
127,Đơn vị đề nghị định giá,Là các chi nhánh BIDV,Là các chi nhánh BIDV và các đơn vị thành viên,Là các đơn vị trực thuộc BIDV,Là các chi nhánh BIDV và các Ban Hội sở chính,Các đơn vị thành viên BIDV trong và ngoài nước,C,"Quy định số 9295/BIDV-QLRRTH ngày 24/12/2024 về trình tự, thủ tục, thẩm quyền định giá TSBĐ tại Trung tâm Định giá tài sản BIDV",Điều 2
128,Tiếp nhận hồ sơ của ĐVĐNĐG,Trường hợp TSBĐ không thuộc đối tượng định giá tại TTĐGTS: TTĐGTS thông báo và gửi trả hồ sơ về ĐVĐNĐG,"Trường hợp TSBĐ thuộc đối tượng định giá tại TTĐGTS và Hồ sơ TSBĐ đã đầy đủ theo quy định, TTĐGTS thực hiện các bước tiếp theo","Trường hợp Hồ sơ TSBĐ chưa đầy đủ, TTĐGTS đề nghị ĐVĐNĐG bổ sung theo quy định",Tất cả các phương án trên,A&C,D,"Quy định số 9295/BIDV-QLRRTH ngày 24/12/2024 về trình tự, thủ tục, thẩm quyền định giá TSBĐ tại Trung tâm Định giá tài sản BIDV","Điều 4 - 4.1, mục b"
129,Trường họp TTĐGTS thuê  Công ty thẩm định giá,"BCĐG không cần nêu về phương pháp định giá và giá trị tối đa không vượt quá giá trị tài sản theo chứng thư và CBĐG, CBPD không được coi là cá nhân tham gia định giá",BCĐG không cần nêu về phương pháp định giá và áp dụng đúng giá trị giá trị tài sản theo chứng thư.,"BCĐG không cần nêu về phương pháp định giá và giá trị tối thiểu không thấp hơn giá trị tài sản theo chứng thư và CBĐG, CBPD  được coi là cá nhân tham gia định giá","BCĐG không cần nêu về phương pháp định giá và giá trị tối đa không vượt quá giá trị tài sản theo chứng thư và CBĐG, CBPD  được coi là cá nhân tham gia định giá",Không phương án nào đúng,A,"Quy định số 9295/BIDV-QLRRTH ngày 24/12/2024 về trình tự, thủ tục, thẩm quyền định giá TSBĐ tại Trung tâm Định giá tài sản BIDV","Điều 4 - 4.1, mục d"
130,Lập danh mục  TSBĐ đến hạn định giá lại,"Định kỳ chậm nhất ngày 15 hàng tháng, TTĐGTS thực hiện rà soát, tổng hợp danh mục TS đến hạn tháng tiếp theo và gửi thông báo đến ĐVĐNĐG phối hợp rà soát.","Định kỳ chậm nhất ngày 10 hàng tháng, ĐVĐNĐG thực hiện rà soát, tổng hợp danh mục TS đến hạn tháng tiếp theo và gửi thông báo đến TTĐGTS phối hợp rà soát.","Định kỳ chậm nhất ngày 05 hàng tháng, TTĐGTS thực hiện rà soát, tổng hợp danh mục TS đến hạn tháng tiếp theo và gửi thông báo đến ĐVĐNĐG phối hợp rà soát.","Định kỳ chậm nhất ngày 05 hàng tháng, ĐVĐNĐG thực hiện rà soát, tổng hợp danh mục TS đến hạn tháng tiếp theo và gửi thông báo đến TTĐGTS phối hợp rà soát.",Không phương án nào đúng,C,"Quy định số 9295/BIDV-QLRRTH ngày 24/12/2024 về trình tự, thủ tục, thẩm quyền định giá TSBĐ tại Trung tâm Định giá tài sản BIDV","Điều 4 - 4.2, mục a"
131,Xác nhận Danh mục TSĐB và bổ sung cập nhật hồ sơ TSBĐ,"Căn cứ danh mục TDBĐ đến hạn định giá tháng tiếp theo do TTĐGTS gửi, ĐVĐNĐG  thực hiện rà soát và gửi phản hồi về TTĐGTS chậm nhất vào ngày 10 hàng tháng","Căn cứ danh mục TDBĐ đến hạn định giá tháng tiếp theo do TTĐGTS gửi, ĐVĐNĐG  thực hiện rà soát và gửi phản hồi về TTĐGTS chậm nhất vào ngày 15 hàng tháng","Căn cứ danh mục TDBĐ đến hạn định giá tháng tiếp theo do ĐVĐNĐG gửi, TTĐGTS  thực hiện rà soát và gửi phản hồi về ĐVĐNĐG chậm nhất vào ngày 15 hàng tháng","Căn cứ danh mục TDBĐ đến hạn định giá tháng tiếp theo do ĐVĐNĐG gửi, TTĐGTS  thực hiện rà soát và gửi phản hồi về ĐVĐNĐG chậm nhất vào ngày 10 hàng tháng",B&C,A,"Quy định số 9295/BIDV-QLRRTH ngày 24/12/2024 về trình tự, thủ tục, thẩm quyền định giá TSBĐ tại Trung tâm Định giá tài sản BIDV","Điều 4 - 4.2, mục a"
132,Trường hợp TSBĐ chưa đến hạn định giá lại nhưng Chi nhánh phát sinh nhu cầu định giá đột xuất thì có được gửi lên TTĐGTS không,"Không, TTĐGTS chỉ tiếp nhận khi đến kỳ hạn định giá","Có, TTDDGTS tiếp nhận và liệt kê vào danh sách kế hoạch của tháng hiện tại","Có, TTDDGTS tiếp nhận và liệt kê vào danh sát định gia lại đột xuất",Không đáp án nào đúng,A&D,C,"Quy định số 9295/BIDV-QLRRTH ngày 24/12/2024 về trình tự, thủ tục, thẩm quyền định giá TSBĐ tại Trung tâm Định giá tài sản BIDV","Điều 4 - 4.2, mục a"
133,Thời hạn hoàn thành định giá đối với TSBĐ trong kế hoạch định giá lại định kỳ hàng tháng,Chậm nhất trước ngày đến hạn định giá lại,Chậm nhất 15 ngày trước ngày đến hạn định giá lại,Chậm nhất 10 ngày trước ngày đến hạn định giá lại,Chậm nhất 05 ngày trước ngày đến hạn định giá lại,Không phương án nào đúng,D,"Quy định số 9295/BIDV-QLRRTH ngày 24/12/2024 về trình tự, thủ tục, thẩm quyền định giá TSBĐ tại Trung tâm Định giá tài sản BIDV","Điều 4 - 4.2, mục c"
134,Thời gian chậm nhất TTĐGTS phải gửi kế hoạch định giá lại TSBĐ dự kiến trong tháng tiếp theo tới ĐVĐNĐG,Chậm nhất ngày 15 hàng tháng,Chậm nhất 05 ngày trước ngày đến hạn định giá lại,Chậm nhất ngày 10 hàng tháng,Không đáp án nào đúng,Không phương án nào đúng,A,"Quy định số 9295/BIDV-QLRRTH ngày 24/12/2024 về trình tự, thủ tục, thẩm quyền định giá TSBĐ tại Trung tâm Định giá tài sản BIDV","Điều 4 - 4.2, mục c"
135,Trường hợp ĐVĐNĐG có phát sinh mới về hồ sơ/thông tin liên quan đến TSBĐ,ĐVĐNĐG cung cấp cho TTĐGTS chậm nhất 01 ngày làm việc sau ngày khảo sát hiện trạng TSBĐ,ĐVĐNĐG cung cấp cho TTĐGTS chậm nhất 03 ngày làm việc trước ngày khảo sát hiện trạng TSBĐ,ĐVĐNĐG cung cấp cho TTĐGTS chậm sau 03 ngày làm việc trước ngày khảo sát hiện trạng TSBĐ,ĐVĐNĐG cung cấp cho TTĐGTS chậm nhất 01 ngày làm việc trước ngày khảo sát hiện trạng TSBĐ,Không phương án nào đúng,B,"Quy định số 9295/BIDV-QLRRTH ngày 24/12/2024 về trình tự, thủ tục, thẩm quyền định giá TSBĐ tại Trung tâm Định giá tài sản BIDV","Điều 4 - 4.2, mục c"
136,Thẩm quyền phê duyệt báo cáo định giá,"Trường hợp giá trị TSBĐ từ 200 tỷ đồng trở lên, TTĐGTS chủ động thuê Công ty thẩm định giá độc lập và thông báo cho ĐVĐNĐG về kết quả cuối cùng","Trường hợp giá trị TSBĐ từ 200 tỷ đồng trở lên, TTĐGTS thông báo cho ĐVĐNĐG về kết quả định giá và đề nghị ĐVĐNĐG thuê Công ty định giá độc lập","Trường hợp giá trị TSBĐ từ 200 tỷ đồng trở lên, TTĐGTS thông báo cho ĐVĐNĐG về việc TSBĐ không thuộc đối tượng định giá và trả về ĐVĐNĐG",Không đáp án nào đúng,A&C,C,"Quy định số 9295/BIDV-QLRRTH ngày 24/12/2024 về trình tự, thủ tục, thẩm quyền định giá TSBĐ tại Trung tâm Định giá tài sản BIDV",Điều 6
137,Thẩm quyền phê duyệt báo cáo định giá,"Trường hợp giá trị TSBĐ dưới ngưỡng giá trị định giá thuộc đối tượng tại TTĐGTS, TTĐGTS vẫn gửi thông báo kết quả về ĐVĐNDG","Trường hợp giá trị TSBĐ dưới ngưỡng giá trị định giá thuộc đối tượng tại TTĐGTS, TTĐGTS trả hồ sơ về cho ĐVĐNĐG","Trường hợp giá trị TSBĐ dưới ngưỡng giá trị định giá thuộc đối tượng tại TTĐGTS, TTĐGTS gửi thông báo tới ĐVĐNĐG về việc tài sản không thuộc phạm vi và đề nghị ĐVĐNDG thuê Công ty định giá độc lập","Trường hợp giá trị TSBĐ dưới ngưỡng giá trị định giá thuộc đối tượng tại TTĐGTS, TTĐGTS gửi thông báo tới ĐVĐNĐG về việc tài sản không thuộc phạm vi và đề nghị ĐVĐNDG tự định giá",A&B,A,"Quy định số 9295/BIDV-QLRRTH ngày 24/12/2024 về trình tự, thủ tục, thẩm quyền định giá TSBĐ tại Trung tâm Định giá tài sản BIDV",Điều 6
